global_id,class_id,is_visual_rep,r1,r2,r3,r4,r5,r6,r7,r8,r9,n_up,n_ne,n_nw
243,6,0,"up(0,0)","nw(2,2)","ne(2,2)","nw(4,4)","up(2,0)","up(2,2)","nw(0,4)","ne(0,4)","ne(0,0)",3,3,3
244,6,0,"up(0,0)","nw(2,2)","ne(2,2)","nw(4,4)","ne(4,4)","ne(4,0)","nw(0,2)","up(4,0)","up(4,4)",3,3,3
245,6,0,"up(0,0)","nw(2,2)","nw(4,2)","up(0,4)","up(2,0)","ne(4,2)","nw(0,4)","ne(0,4)","ne(0,0)",3,3,3
246,6,0,"up(0,0)","nw(2,2)","nw(4,2)","up(0,4)","ne(4,4)","nw(0,0)","ne(4,2)","ne(0,0)","up(4,4)",3,3,3
247,6,0,"up(5,0)","up(5,2)","nw(1,4)","nw(3,4)","ne(3,4)","ne(3,0)","nw(5,2)","up(3,0)","ne(5,2)",3,3,3
248,6,0,"up(5,0)","up(5,2)","nw(1,4)","nw(3,4)","ne(3,4)","nw(5,0)","up(1,2)","ne(5,0)","ne(5,2)",3,3,3
249,6,0,"up(5,0)","nw(1,2)","ne(1,2)","nw(3,4)","up(1,0)","up(1,2)","nw(5,4)","ne(5,4)","ne(5,0)",3,3,3
250,6,0,"up(5,0)","nw(1,2)","ne(1,2)","nw(3,4)","ne(3,4)","ne(3,0)","nw(5,2)","up(3,0)","up(3,4)",3,3,3
251,6,0,"up(5,0)","nw(1,2)","nw(3,2)","up(5,4)","up(1,0)","ne(3,2)","nw(5,4)","ne(5,4)","ne(5,0)",3,3,3
252,6,0,"up(5,0)","nw(1,2)","nw(3,2)","up(5,4)","ne(3,4)","nw(5,0)","ne(3,2)","ne(5,0)","up(3,4)",3,3,3
253,6,0,"ne(2,4)","ne(2,0)","nw(4,2)","nw(2,4)","up(2,0)","ne(4,2)","nw(0,4)","up(4,0)","up(4,2)",3,3,3
254,6,0,"ne(2,4)","ne(2,0)","nw(4,2)","nw(2,4)","up(2,0)","nw(0,2)","up(2,4)","up(4,0)","ne(0,2)",3,3,3
255,6,0,"ne(2,4)","nw(4,0)","up(0,2)","nw(2,4)","ne(4,0)","ne(4,2)","nw(0,4)","up(4,0)","up(4,2)",3,3,3
256,6,0,"ne(2,4)","nw(4,0)","up(0,2)","nw(2,4)","nw(0,0)","up(2,2)","up(2,4)","ne(0,0)","ne(0,2)",3,3,3
257,6,0,"ne(2,4)","nw(4,0)","nw(2,2)","ne(2,2)","ne(4,0)","nw(0,2)","up(2,4)","up(4,0)","up(4,4)",3,3,3
258,6,0,"ne(2,4)","nw(4,0)","nw(2,2)","ne(2,2)","nw(0,0)","up(2,2)","up(2,4)","ne(0,0)","up(4,4)",3,3,3
259,6,0,"ne(1,5)","ne(1,1)","nw(3,3)","nw(1,5)","up(1,5)","up(1,1)","nw(5,3)","ne(5,3)","up(3,1)",3,3,3
260,6,0,"ne(1,5)","ne(1,1)","nw(3,3)","nw(1,5)","ne(3,3)","nw(5,5)","up(1,1)","up(3,1)","up(3,3)",3,3,3
261,6,0,"ne(1,5)","nw(3,1)","up(5,3)","nw(1,5)","up(1,5)","nw(5,1)","up(1,3)","ne(5,3)","ne(5,1)",3,3,3
262,6,0,"ne(1,5)","nw(3,1)","up(5,3)","nw(1,5)","ne(3,3)","nw(5,5)","ne(3,1)","up(3,1)","up(3,3)",3,3,3
263,6,0,"ne(1,5)","nw(3,1)","nw(1,3)","ne(1,3)","up(1,5)","ne(3,1)","nw(5,3)","up(3,5)","up(3,1)",3,3,3
264,6,0,"ne(1,5)","nw(3,1)","nw(1,3)","ne(1,3)","up(1,5)","nw(5,1)","up(1,3)","up(3,5)","ne(5,1)",3,3,3
265,6,0,"nw(2,0)","ne(2,0)","ne(2,2)","nw(4,4)","up(2,0)","up(2,2)","nw(0,4)","ne(0,4)","up(4,2)",3,3,3
