dataset,structure_id,config_id,n_til,dE_DFT_eV,dE_UMA_eV,ga_faces,h_faces
energy-1st,361337,-1,0,0.181809,0.209884,28;42;56,1;5;7;9;11;13;21;25;35;39;47;49;51;59;61;63;65;69
energy-1st,361738,-1,0,0.60084,0.638904,28;42;56,1;3;7;9;11;13;21;25;35;39;47;49;51;59;61;63;67;71
energy-1st,362308,-1,0,0.535452,0.582121,28;42;56,1;3;5;7;9;11;13;21;25;35;39;47;49;51;61;63;65;71
energy-1st,362318,109146,2,0.208063,0.278406,28;42;56,1;3;5;7;9;11;13;21;25;35;39;49;51;59;61;63;65;69
energy-1st,362373,-1,0,0.387425,0.431806,28;42;56,1;3;5;9;11;13;21;25;35;39;49;51;59;61;63;65;67;69
energy-1st,362771,-1,0,0.72135,0.706203,28;42;56,1;5;9;11;13;15;21;25;33;35;39;49;51;59;61;63;67;71
energy-1st,363233,109630,1,0.418467,0.428859,28;42;56,1;5;7;9;11;13;15;21;25;35;39;49;51;59;61;63;65;71
energy-1st,363526,-1,0,1.119246,1.017767,28;42;56,1;5;9;11;13;15;21;25;39;47;49;51;53;59;61;63;65;67
energy-1st,363768,-1,0,0.947537,0.891553,28;42;56,1;3;5;7;9;11;13;15;21;25;35;39;47;49;51;61;63;67
energy-1st,372359,-1,0,1.018757,0.899031,28;42;56,1;5;7;9;11;15;21;35;37;47;49;51;53;61;65;67;69;71
energy-1st,375740,-1,0,0.835375,0.79604,28;42;56,1;3;9;11;15;19;21;35;37;47;49;53;59;61;63;65;67;71
energy-1st,376521,-1,0,1.078108,0.883122,28;42;56,1;3;5;9;11;19;21;33;35;37;39;49;53;59;61;63;65;69
energy-1st,377416,-1,0,0.641593,0.555927,28;42;56,1;3;5;9;11;15;19;21;35;37;39;47;49;53;61;63;67;69
energy-1st,377581,-1,0,0.812791,0.801825,28;42;56,1;3;5;9;11;15;21;35;37;39;47;49;59;61;63;65;67;71
energy-1st,378650,-1,0,1.04486,0.929078,28;42;56,1;5;7;9;11;15;19;21;33;35;37;47;49;51;61;63;67;71
energy-1st,379498,-1,0,0.594752,0.620622,28;42;56,1;3;9;11;15;19;21;35;37;47;49;51;61;63;65;67;69;71
energy-1st,384865,-1,0,0.711263,0.630856,28;42;56,3;5;7;9;11;13;15;21;33;35;37;49;51;53;59;61;69;71
energy-1st,384953,-1,0,0.498804,0.430769,28;42;56,3;7;9;11;13;15;21;33;35;37;47;49;51;59;61;65;67;71
energy-1st,391905,-1,0,0.370837,0.344538,28;42;56,3;5;9;11;13;15;21;33;35;37;47;49;51;59;61;63;65;69
energy-1st,391914,-1,0,0.243269,0.251163,28;42;56,3;5;7;9;11;13;15;21;35;37;47;49;51;59;61;63;65;69
energy-1st,391921,104127,1,0.378832,0.369979,28;42;56,3;5;7;9;11;13;15;21;33;35;37;49;51;61;63;65;69;71
energy-1st,396169,-1,0,0.539324,0.526991,28;42;56,1;3;5;7;9;11;13;15;21;33;37;47;49;53;59;61;65;71
energy-1st,396709,-1,0,0.547888,0.505359,28;42;56,1;3;5;7;9;11;13;21;33;35;37;39;47;49;59;61;65;69
energy-1st,397935,-1,0,0.723291,0.628823,28;42;56,1;3;5;9;11;13;15;19;21;35;37;39;47;49;59;61;65;69
energy-1st,399252,-1,0,0.514071,0.521265,28;42;56,1;5;9;11;13;15;19;21;35;37;47;49;51;59;61;65;67;71
energy-1st,399654,-1,0,0.429545,0.37758,28;42;56,1;3;7;9;11;13;15;21;33;35;37;49;51;53;59;61;67;71
energy-1st,399713,106602,1,0.27978,0.318452,28;42;56,1;3;5;7;9;11;13;15;21;35;37;47;49;51;53;61;69;71
energy-1st,399861,-1,0,0.230234,0.274684,28;42;56,1;3;7;9;11;13;15;21;35;37;47;49;51;59;61;65;67;71
energy-1st,399919,-1,0,0.358401,0.382318,28;42;56,1;3;5;7;9;11;13;15;21;33;35;37;47;49;51;61;65;71
energy-1st,400109,-1,0,0.22587,0.226662,28;42;56,1;3;7;9;11;13;15;21;35;37;47;49;51;53;61;65;67;71
energy-1st,400153,-1,0,1.089051,1.041276,28;42;56,1;3;7;9;11;13;15;19;21;37;49;51;53;59;61;65;67;71
energy-1st,400168,-1,0,0.366458,0.365387,28;42;56,1;3;5;9;11;13;15;21;35;37;47;49;51;53;59;61;65;69
energy-1st,401419,-1,0,1.430628,1.103407,28;42;56,1;3;9;11;13;19;21;33;35;37;39;47;49;51;53;61;65;67
energy-1st,404142,-1,0,0.390955,0.343643,28;42;56,1;5;9;11;13;15;19;21;35;37;47;49;53;59;61;63;67;69
energy-1st,404261,-1,0,0.63423,0.621398,28;42;56,1;5;9;11;13;15;19;21;33;37;47;49;59;61;63;65;67;71
energy-1st,404282,-1,0,0.770526,0.681427,28;42;56,1;5;7;9;11;13;15;19;21;35;37;47;49;61;63;65;67;69
energy-1st,404350,-1,0,0.762557,0.560301,28;42;56,1;9;11;13;15;19;21;33;35;37;47;49;53;61;63;65;67;69
energy-1st,404603,-1,0,0.754849,0.726267,28;42;56,1;3;5;7;9;11;13;15;19;21;35;37;47;49;61;63;67;71
energy-1st,404717,106567,2,0.266023,0.291216,28;42;56,1;3;5;7;9;11;13;15;21;35;37;47;49;53;59;61;63;69
energy-1st,404723,-1,0,0.400394,0.38468,28;42;56,1;3;5;7;9;11;13;15;21;33;37;47;49;53;59;61;63;69
energy-1st,404842,102735,1,0.732781,0.73406,28;42;56,1;3;9;11;13;15;19;21;33;35;37;47;49;61;63;65;69;71
energy-1st,404931,-1,0,0.478381,0.515654,28;42;56,1;3;5;7;9;11;13;15;21;33;35;37;47;49;61;63;65;69
energy-1st,405127,-1,0,0.842411,0.8146,28;42;56,1;3;7;9;11;13;15;21;37;47;49;53;61;63;65;67;69;71
energy-1st,405436,-1,0,1.026287,0.830131,28;42;56,1;5;9;11;13;19;21;33;35;37;39;49;53;61;63;67;69;71
energy-1st,405553,-1,0,0.654851,0.539355,28;42;56,1;5;9;11;13;19;21;33;35;37;39;47;49;61;63;65;67;69
energy-1st,406023,-1,0,0.744079,0.579406,28;42;56,1;3;5;9;11;13;19;21;33;35;37;39;47;49;53;61;63;69
energy-1st,406204,-1,0,0.687203,0.717294,28;42;56,1;3;5;9;11;13;21;35;37;39;47;49;59;61;63;65;69;71
energy-1st,407794,-1,0,1.136953,1.153507,28;42;56,1;3;5;9;11;13;15;21;37;39;49;53;59;61;63;67;69;71
energy-1st,408802,-1,0,0.962719,0.876088,28;42;56,1;3;7;9;11;13;21;35;37;47;49;51;59;61;63;67;69;71
